layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
0,0.25,270,0.8211082175925926,0.031179206103812137,0.342578125,0.039517531998930024,0.20791919849537038,0.05171123342373841,0.5177879050925925,0.07133050953644275,0.9566261574074074,0.018218462098055326,0.5363642939814814,0.06914762420265096
0,0.5,270,0.8056423611111111,0.0354618490730501,0.298216869212963,0.04738832140884456,0.27133246527777777,0.066689981692838,0.5177879050925925,0.07133050953644275,0.9174334490740741,0.0382081998808217,0.5646267361111111,0.07311924158898148
0,0.75,270,0.7974971064814815,0.03798138758044676,0.28763020833333336,0.047581273794651456,0.29371744791666665,0.07187841778920362,0.5177879050925925,0.07133050953644275,0.9104600694444445,0.041294293268724976,0.5644024884259259,0.07494738756323263
1,0.25,270,0.80234375,0.03645275254905695,0.24001374421296295,0.045283571892610154,0.3180953414351852,0.06428063291552408,0.5177879050925925,0.07133050953644275,0.9152054398148148,0.03588957180520494,0.5364221643518519,0.07150595198358387
1,0.5,270,0.7703703703703704,0.047272105523518994,0.22039207175925926,0.03887744647765262,0.40216652199074077,0.07601042983893681,0.5177879050925925,0.07133050953644275,0.8601851851851852,0.0498480771559572,0.538939525462963,0.0696799050761808
1,0.75,270,0.7497106481481481,0.052473860606190074,0.22061089409722223,0.044520605912559325,0.46474971064814813,0.08536762382997126,0.5177879050925925,0.07133050953644275,0.8387008101851852,0.053600876389474805,0.5447193287037037,0.07422228079826168
2,0.25,270,0.8010850694444445,0.038078882349469774,0.24314597800925927,0.047898371328571394,0.31737919560185185,0.06930421861391406,0.5177879050925925,0.07133050953644275,0.9219184027777778,0.03246426232257731,0.5206452546296296,0.06912519148143798
2,0.5,270,0.7734519675925926,0.049200258031543674,0.22819914641203703,0.04612607976679069,0.4063910590277778,0.08797833856717227,0.5177879050925925,0.07133050953644275,0.8460069444444445,0.05716618729384098,0.5329499421296297,0.06727757429645996
2,0.75,270,0.7580005787037037,0.05172422536291009,0.2224464699074074,0.04777536393780917,0.46417100694444446,0.09099480346283421,0.5177879050925925,0.07133050953644275,0.8177662037037037,0.06539486923998336,0.5413411458333334,0.06966303014516954
3,0.25,270,0.8037615740740741,0.036256907016930275,0.2488208912037037,0.045858110038094035,0.3116861979166667,0.06600188096145809,0.5177879050925925,0.07133050953644275,0.9161024305555555,0.03315702364128375,0.5159360532407408,0.0689129118087364
3,0.5,270,0.7792679398148148,0.04518278271901418,0.2296748408564815,0.04577193355765459,0.4015552662037037,0.0844510458682856,0.5177879050925925,0.07133050953644275,0.8458622685185185,0.0549684066978489,0.5339048032407407,0.068115279292126
3,0.75,270,0.7643229166666666,0.04902593035844984,0.22285517939814814,0.04839732542592132,0.4568359375,0.09043609301067652,0.5177879050925925,0.07133050953644275,0.8249855324074075,0.06114922907029418,0.5410662615740741,0.0689773262473543
4,0.25,270,0.809910300925926,0.03371392697025234,0.25197844328703706,0.04538632196803738,0.3043800636574074,0.06366975144431937,0.5177879050925925,0.07133050953644275,0.9319010416666667,0.027163655432071207,0.517310474537037,0.06945935539003996
4,0.5,270,0.7868778935185186,0.04156111294526505,0.22040653935185187,0.04585990891669177,0.3953595196759259,0.07934220632149752,0.5177879050925925,0.07133050953644275,0.8605758101851851,0.051648294435195675,0.5350983796296296,0.0677398100331862
4,0.75,270,0.7674623842592593,0.04668972775454273,0.21634114583333333,0.04720602817487116,0.4578125,0.08791913760762116,0.5177879050925925,0.07133050953644275,0.8270833333333333,0.061044799585416046,0.5359447337962963,0.06810458016104397
5,0.25,270,0.7933883101851852,0.042873872779128186,0.24943214699074073,0.045155724178144736,0.3062608506944444,0.06276061270674248,0.5177879050925925,0.07133050953644275,0.9279947916666667,0.026773885708768173,0.5077546296296296,0.06759908752358135
5,0.5,270,0.7747395833333334,0.048834201010849516,0.21596498842592593,0.04646616818153185,0.3939453125,0.0787186017199589,0.5177879050925925,0.07133050953644275,0.8523148148148149,0.05340975117871877,0.5218532986111111,0.06505373118747516
5,0.75,270,0.7694589120370371,0.045913230481205214,0.21755823206018518,0.04675160451327648,0.4545211226851852,0.08855786469264276,0.5177879050925925,0.07133050953644275,0.8240740740740741,0.06321818167673784,0.5403284143518519,0.06845887827580677
6,0.25,270,0.794285300925926,0.041991147589964424,0.24838324652777777,0.044542740365382465,0.3078884548611111,0.06122486912797343,0.5177879050925925,0.07133050953644275,0.9266203703703704,0.026669452035120004,0.5073857060185185,0.06806775880156075
6,0.5,270,0.7759982638888889,0.04834393420349442,0.21194299768518518,0.04703762010695216,0.3799442997685185,0.07506193099209907,0.5177879050925925,0.07133050953644275,0.8890480324074074,0.04009133845739828,0.5136140046296296,0.0664472745439701
6,0.75,270,0.7751302083333333,0.04428378844350541,0.21145652488425926,0.04577657026025201,0.44450231481481484,0.08661264975623115,0.5177879050925925,0.07133050953644275,0.8388165509259259,0.05695446538466667,0.5426432291666666,0.06881025865285728
7,0.25,270,0.7970920138888888,0.039406877994832015,0.23949291087962962,0.04451404070360379,0.3223488136574074,0.061038846553390556,0.5177879050925925,0.07133050953644275,0.9254774305555555,0.02607567946632636,0.516333912037037,0.06888033444224806
7,0.5,270,0.7719907407407407,0.049848404675565984,0.20026765046296297,0.04654578062193886,0.39373191550925923,0.07481481288788208,0.5177879050925925,0.07133050953644275,0.8968605324074074,0.035945516272285274,0.5256076388888888,0.0684666266228028
7,0.75,270,0.7734230324074074,0.0445919954887284,0.2074001736111111,0.04506851187487156,0.4597294560185185,0.0876426952070098,0.5177879050925925,0.07133050953644275,0.8372106481481482,0.056933122133571774,0.5446976273148149,0.06915658662779149
8,0.25,270,0.7946469907407407,0.04012034289095015,0.23833912037037036,0.04342156108798918,0.3345992476851852,0.06492643282162264,0.5177879050925925,0.07133050953644275,0.9204137731481481,0.028055004808769258,0.5189814814814815,0.06869282588661228
