layer,lambda_reg,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
0,0.25,270,0.79609375,0.038321383912750674,0.2848090277777778,0.0472544391910716,0.2969581886574074,0.07206379984684776,0.5177879050925925,0.07133050953644275,0.9099392361111112,0.04112341619319962,0.5634620949074074,0.07495385954125106
0,0.5,270,0.7993200231481481,0.037303584249094954,0.29108796296296297,0.04724908146603688,0.28804253472222224,0.0697593871581862,0.5177879050925925,0.07133050953644275,0.9109085648148149,0.04101182548620674,0.5658854166666667,0.07434797017245641
0,0.75,270,0.8026909722222222,0.036165323889136854,0.2938114872685185,0.047488120812524126,0.2794524016203704,0.0680514038580353,0.5177879050925925,0.07133050953644275,0.9140046296296296,0.03966829214371268,0.5656177662037037,0.073783349561147
1,0.25,270,0.7473668981481482,0.05272355991128438,0.22009910300925925,0.045187959290554615,0.47452256944444443,0.08619502091407091,0.5177879050925925,0.07133050953644275,0.8407262731481482,0.052346998909393705,0.5460141782407407,0.07597115572845632
1,0.5,270,0.7563512731481481,0.050939711429211706,0.22218967013888888,0.04284507824414465,0.44657118055555556,0.08438597277687689,0.5177879050925925,0.07133050953644275,0.8381510416666667,0.055384886639236595,0.5464482060185185,0.07231566822233877
1,0.75,270,0.7612413194444444,0.04953223047015132,0.22105396412037037,0.03967581989437868,0.4276258680555556,0.08025033061404442,0.5177879050925925,0.07133050953644275,0.8450954861111111,0.05191648985636061,0.536595775462963,0.06862530220114252
2,0.25,270,0.7535445601851852,0.05279605938005553,0.22425672743055555,0.04840973970468253,0.47767650462962963,0.09194990099987987,0.5177879050925925,0.07133050953644275,0.8089120370370371,0.06846292892673958,0.5454137731481481,0.0705512994606333
2,0.5,270,0.7619791666666667,0.051242562764905485,0.22244104456018518,0.047506385134734465,0.44464699074074077,0.09016607055434511,0.5177879050925925,0.07133050953644275,0.8266059027777778,0.06220732555995897,0.5353660300925925,0.06840523069147741
2,0.75,270,0.7680989583333333,0.050513841422672304,0.22484809027777777,0.04678329602551981,0.4233253761574074,0.08939170826938234,0.5177879050925925,0.07133050953644275,0.8382667824074074,0.05952149225980008,0.5337528935185185,0.06748077573103609
3,0.25,270,0.7613859953703703,0.04944091217000881,0.22321325231481481,0.04869912658250819,0.46871383101851855,0.09131470803016221,0.5177879050925925,0.07133050953644275,0.8208188657407407,0.06236080372771397,0.5464482060185185,0.0704141123940958
