layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
0,0.25,270,0.8218605324074074,0.03288939497071144,0.3856409143518518,0.035830322074845586,0.1647099247685185,0.05025558596501104,0.5177879050925925,0.07133050953644275,0.9696469907407408,0.015628187903530672,0.5167607060185185,0.07112340510319294
0,0.5,270,0.813208912037037,0.034993601548114976,0.313794849537037,0.04675576644962354,0.23525390625,0.061682684940097016,0.5177879050925925,0.07133050953644275,0.9530960648148148,0.021571641456498935,0.5280960648148149,0.07150144360882292
0,0.75,270,0.8066116898148148,0.035739349355720235,0.289720775462963,0.04883938377570843,0.26962890625,0.06665223018315931,0.5177879050925925,0.07133050953644275,0.9319155092592593,0.031745353301264996,0.5547236689814815,0.07142225865914666
1,0.25,270,0.8175925925925925,0.03149776660848266,0.3133355034722222,0.04218601665496718,0.2293384693287037,0.05258307073403587,0.5177879050925925,0.07133050953644275,0.9594618055555556,0.015753713676424533,0.5256944444444445,0.0709682667047395
1,0.5,270,0.7900318287037037,0.03882914534054165,0.21078559027777777,0.0442190814412501,0.37237413194444446,0.07225457469421669,0.5177879050925925,0.07133050953644275,0.9021412037037037,0.03529044129363142,0.54765625,0.07382238366858762
1,0.75,270,0.7578125,0.049936211480386544,0.2165183738425926,0.044633525697675695,0.4580367476851852,0.08397557965128197,0.5177879050925925,0.07133050953644275,0.834447337962963,0.0566965756777168,0.5422309027777777,0.07401778448906295
2,0.25,270,0.819603587962963,0.030293249199306604,0.32730034722222223,0.040385468433896385,0.20836588541666667,0.04845426900403088,0.5177879050925925,0.07133050953644275,0.9652488425925926,0.013101090108401806,0.5158781828703703,0.07020657198141624
2,0.5,270,0.7963686342592593,0.04062031373417445,0.23217230902777777,0.04750981363963941,0.34503761574074077,0.0768391589773393,0.5177879050925925,0.07133050953644275,0.8953559027777778,0.04242139185603508,0.5314525462962963,0.0683080056965743
2,0.75,270,0.7713252314814815,0.04677546087233242,0.21728515625,0.045906497857802174,0.44408998842592595,0.08757476184274014,0.5177879050925925,0.07133050953644275,0.8316984953703703,0.05988311343118178,0.5520688657407408,0.07166276904918069
3,0.25,270,0.8228009259259259,0.028715222962985287,0.3319842303240741,0.040454630028863875,0.1985713252314815,0.0471421277941409,0.5177879050925925,0.07133050953644275,0.9684895833333333,0.011614116208842583,0.5093388310185185,0.06914970827445494
3,0.5,270,0.7979166666666667,0.0405606795837867,0.24167028356481482,0.0460191471560937,0.33251591435185185,0.07287857020300641,0.5177879050925925,0.07133050953644275,0.8959924768518519,0.043094315243849386,0.5253689236111111,0.0669310695430295
3,0.75,270,0.7711082175925926,0.04744719504610533,0.2205982349537037,0.04734196230184898,0.43765190972222223,0.08671990403264626,0.5177879050925925,0.07133050953644275,0.8265769675925926,0.06095391122583488,0.5459129050925926,0.06828611786362014
4,0.25,270,0.8044994212962963,0.033409179926180026,0.2651837384259259,0.04506658808184664,0.28871166087962963,0.056937621574269015,0.5177879050925925,0.07133050953644275,0.9539351851851852,0.018679920010472497,0.530150462962963,0.0714540527989048
4,0.5,270,0.7822916666666667,0.039835238742346235,0.20512152777777778,0.04290011660546215,0.3905707465277778,0.074392067527711,0.5177879050925925,0.07133050953644275,0.894285300925926,0.04116583332766463,0.545652488425926,0.06851392278065079
4,0.75,270,0.7622106481481481,0.04607223885422274,0.20840205439814816,0.04479411889970947,0.46020688657407405,0.08433081693907539,0.5177879050925925,0.07133050953644275,0.8412037037037037,0.056104167550110856,0.5542390046296296,0.0695741684170967
5,0.25,270,0.800318287037037,0.032071282049659526,0.24556568287037037,0.04517548413529877,0.31248191550925924,0.05920653083496324,0.5177879050925925,0.07133050953644275,0.9355179398148148,0.023831427633791997,0.5283781828703704,0.07197974128823423
5,0.5,270,0.7828848379629629,0.03751695595830876,0.19777018229166668,0.044152401353777355,0.3941731770833333,0.07419353926945256,0.5177879050925925,0.07133050953644275,0.8875289351851852,0.04030881086508147,0.5413266782407408,0.07048330669720307
5,0.75,270,0.7648726851851851,0.04461796173189924,0.2082248263888889,0.044020025009942516,0.4601851851851852,0.08587417608072774,0.5177879050925925,0.07133050953644275,0.8298900462962963,0.059825438929533,0.5481770833333334,0.06931825829316568
6,0.25,270,0.8012297453703704,0.03235307286319108,0.24800347222222222,0.04592657398691827,0.30710358796296294,0.06036216992184857,0.5177879050925925,0.07133050953644275,0.9403790509259259,0.021234113790785936,0.5294343171296296,0.07563726348160638
6,0.5,270,0.7871817129629629,0.03695822914404728,0.20034722222222223,0.045476921259754007,0.38125,0.07358304174338322,0.5177879050925925,0.07133050953644275,0.9052517361111111,0.033398176631083576,0.5412326388888888,0.0757612860699029
6,0.75,270,0.7699363425925926,0.04332442773863627,0.20574363425925926,0.04249473054616168,0.4507667824074074,0.08658857309167411,0.5177879050925925,0.07133050953644275,0.8431857638888889,0.05550977728172493,0.5423972800925926,0.07089819688969552
7,0.25,270,0.8051215277777778,0.03259950249889029,0.2648799189814815,0.045049497188545555,0.28631727430555554,0.057661595908265834,0.5177879050925925,0.07133050953644275,0.951171875,0.019144758151635306,0.5318721064814815,0.0746309414167995
7,0.5,270,0.7910445601851852,0.037246172980419746,0.20713794849537037,0.046693352034840416,0.3683738425925926,0.07229693715101582,0.5177879050925925,0.07133050953644275,0.9135561342592593,0.03116712005971141,0.5413049768518519,0.07362242868689926
7,0.75,270,0.7714409722222222,0.04351859547373022,0.20749421296296297,0.042555061796121486,0.4525607638888889,0.08777911092655212,0.5177879050925925,0.07133050953644275,0.8421006944444445,0.05505306608061483,0.5402488425925925,0.06968948046538179
8,0.25,270,0.8025752314814815,0.03324356865195507,0.2634331597222222,0.045211545716468154,0.2901294849537037,0.05892840284897067,0.5177879050925925,0.07133050953644275,0.951953125,0.02032348683457546,0.5318070023148148,0.0738606738066761
8,0.5,270,0.7918836805555556,0.03722240542845927,0.20721932870370371,0.04618665300307518,0.3680808738425926,0.0713618350210448,0.5177879050925925,0.07133050953644275,0.9142939814814814,0.03170517379505523,0.5460720486111111,0.07472674350224606
8,0.75,270,0.7698929398148148,0.04456897995595888,0.2089916087962963,0.04306719708798354,0.4614728009259259,0.08870664446120949,0.5177879050925925,0.07133050953644275,0.8388744212962963,0.05672680329099582,0.5398292824074075,0.07071467267140825
9,0.25,270,0.8008825231481481,0.03543869511791234,0.2654369212962963,0.048552971304791415,0.2886501736111111,0.06367695250834216,0.5177879050925925,0.07133050953644275,0.9514033564814814,0.020088339578642533,0.530613425925926,0.07459806125347307
9,0.5,270,0.788425925925926,0.03967889656688233,0.2071216724537037,0.04622757579746194,0.37660228587962963,0.07513765845722564,0.5177879050925925,0.07133050953644275,0.9063512731481481,0.034889045740776725,0.5387876157407407,0.07318749422522612
9,0.75,270,0.7686921296296296,0.0458581973306921,0.20741644965277778,0.04397023155636862,0.47018229166666664,0.09002416215736427,0.5177879050925925,0.07133050953644275,0.8344907407407407,0.05778031186943422,0.5381872106481481,0.06893285962194273
10,0.25,270,0.8113715277777778,0.032669464291402016,0.2899558738425926,0.04699116348051392,0.25621021412037037,0.057745479860418364,0.5177879050925925,0.07133050953644275,0.9618634259259259,0.0165674087505402,0.5314091435185185,0.07381237425520229
10,0.5,270,0.795775462962963,0.03863233005427241,0.21679868344907408,0.04780988539998057,0.35847800925925927,0.07549815121355999,0.5177879050925925,0.07133050953644275,0.9158420138888889,0.03420703408888839,0.5375144675925926,0.07224454471391073
10,0.75,270,0.7720486111111111,0.04578192811194584,0.20715422453703702,0.04531758669927188,0.46587818287037036,0.09080707002866784,0.5177879050925925,0.07133050953644275,0.840552662037037,0.055049083351481225,0.5334273726851851,0.06661627674345935
11,0.25,270,0.8139322916666667,0.032642842226964765,0.2990451388888889,0.04404449113573255,0.24662543402777778,0.05552826210969723,0.5177879050925925,0.07133050953644275,0.9633825231481481,0.014262060025208792,0.5254412615740741,0.07309478981201978
11,0.5,270,0.798119212962963,0.039239045063334865,0.22084056712962963,0.04821345798645387,0.35621744791666665,0.07608720875907317,0.5177879050925925,0.07133050953644275,0.9134403935185185,0.03267870499272261,0.5379701967592593,0.07038826854256672
11,0.75,270,0.7739149305555556,0.046817677302598254,0.21023763020833333,0.04590392312169381,0.4672236689814815,0.09197847201433662,0.5177879050925925,0.07133050953644275,0.8423321759259259,0.05373384645574611,0.5413194444444445,0.06592810510914306
